order_id,time,eth_held,usdt_held,trade_price,trigger_price,commission_paid,commission_asset
0,2017-01-01,0.05,0.0,,,,
1241816072,2020-06-17 22:42:34.348000,0.0,11.606881499999998,232.37,232.08,0.046474,USDT
1264814120,2020-06-23 23:02:08.158000,0.04755865066445181,0.0,243.81,243.86,4.7606256921373185e-05,ETH
1269270833,2020-06-24 19:02:45.875000,0.0,11.117595531226243,234.0,234.06,0.011128724255481724,USDT
1269607481,2020-06-24 21:02:07.232000,0.0474534412975647,0.0,234.05,234.02,4.75009422398045e-05,ETH
1273041250,2020-06-25 17:02:06.496000,0.0,11.057920724352655,233.26,233.33,0.011068992717287516,USDT
1302530172,2020-07-03 11:02:06.260000,0.04885398374150143,0.0,226.12,226.12,4.890288662812956e-05,ETH
1304262561,2020-07-04 01:02:07.137000,0.0,10.964560452378429,224.66,224.48,0.01097553498728416,USDT
1316928765,2020-07-07 11:02:05.846000,0.046490369220007856,0.0,235.61,235.62,4.6536906126134e-05,ETH
1332523253,2020-07-11 01:02:06.839000,0.0,11.214338982711196,241.46,241.47,0.011225569151899631,USDT
1338172909,2020-07-12 21:02:09.757000,0.04697523855813025,0.0,238.49,238.49,4.70222608189492e-05,ETH
1,2020-08-04 22:00:40,0.4636419052247903,0.0,,,,
1582299025,2020-08-23 12:00:00.000000,0.0,179.27777860001038,,387.05,0.18,USDT
1582929302,2020-08-23 15:02:18.967000,0.4606118021793769,0.0,388.82000000000005,388.51,0.00046107287505443135,ETH
1583413141,2020-08-23 16:16:24.317000,0.0,179.99734114354834,391.17,391.16,0.18017751495849235,USDT
